DD,SS,visual,Aud,win,raw,fisherave
,1,1,1,1,0.239389305,0.247904399
,1,1,1,2,0.20537762,0.21064983
,1,1,1,3,0.136774415,0.137723778
,1,1,0,1,0.115644675,0.116226903
,1,1,0,2,0.12096626,0.121738686
,1,1,0,3,0.099856455,0.100203919
,1,1,2,1,0.39807357,0.453082885
,1,1,2,2,0.261084575,0.267922791
,1,1,2,3,0.373346315,0.419451793
,1,2,1,1,0.40971047,0.482518904
,1,2,1,2,0.61653201,1.187019282
,1,2,1,3,0.52585108,0.886635083
,1,2,0,1,0.117444735,0.117992593
,1,2,0,2,0.11868158,0.119259332
,1,2,0,3,0.092188945,0.092457345
,1,2,2,1,0.30986666,0.326595574
,1,2,2,2,0.617182315,1.140852575
,1,2,2,3,0.58734277,1.039182312
,2,1,1,1,0.268499605,0.275489876
,2,1,1,2,0.13432937,0.13516053
,2,1,1,3,0.14935225,0.150521763
,2,1,0,1,0.266422615,0.273822185
,2,1,0,2,0.309988745,0.321055607
,2,1,0,3,0.318820435,0.330400876
,2,1,2,1,0.516942265,0.575832408
,2,1,2,2,0.94035747,1.741313511
,2,1,2,3,0.68672785,1.067451264
,2,2,1,1,0.107427655,0.107843808
,2,2,1,2,0.23127169,0.235942827
,2,2,1,3,0.283303625,0.29237386
,2,2,0,1,0.454082745,0.57781514
,2,2,0,2,0.540480945,1.080400131
,2,2,0,3,0.53772924,1.063613259
,2,2,2,1,0.6007429,0.934674586
,2,2,2,2,0.766209185,1.33591111
,2,2,2,3,0.51599084,0.574852314
,5,1,1,1,0.27091536,0.279453559
,5,1,1,2,0.13210989,0.133000159
,5,1,1,3,0.164544715,0.166168037
,5,1,0,1,0.21392125,0.21732038
,5,1,0,2,0.19327957,0.196761035
,5,1,0,3,0.14823334,0.149526752
,5,1,2,1,0.207040365,0.211257179
,5,1,2,2,0.146437645,0.147557705
,5,1,2,3,0.166743,0.168322814
,5,2,1,1,0.15992936,0.161719891
,5,2,1,2,0.16977626,0.171622683
,5,2,1,3,0.120078585,0.120665399
,5,2,0,1,0.2243896,0.228466503
,5,2,0,2,0.2660654,0.273668256
,5,2,0,3,0.439919965,0.472852505
,5,2,2,1,0.172258035,0.174018929
,5,2,2,2,0.41552736,0.460941333
,5,2,2,3,0.43316423,0.498662756
,6,1,1,1,0.461616695,0.50083559
,6,1,1,2,0.21308304,0.216401749
,6,1,1,3,0.34798459,0.363799361
,6,1,0,1,0.52764369,0.587301504
,6,1,0,2,0.54532399,0.612581298
,6,1,0,3,0.484358455,0.52934466
,6,1,2,1,0.286157575,0.296035714
,6,1,2,2,0.300966285,0.310763821
,6,1,2,3,0.25365263,0.261240469
,6,2,1,1,0.729566975,1.012066748
,6,2,1,2,0.73163161,1.19474711
,6,2,1,3,0.88281029,1.523339655
,6,2,0,1,0.81131971,1.2817509
,6,2,0,2,0.938366425,1.728688976
,6,2,0,3,0.92866544,1.648806083
,6,2,2,1,0.59985515,0.695952984
,6,2,2,2,0.782018175,1.347281108
,6,2,2,3,0.89324947,1.549618562
,7,1,1,1,0.25066299,0.258275253
,7,1,1,2,0.595395245,0.829951447
,7,1,1,3,0.462715675,0.528167611
,7,1,0,1,0.815212805,1.14255418
,7,1,0,2,0.826828325,1.179332337
,7,1,0,3,0.851239165,1.269866559
,7,1,2,1,0.481367445,0.539642738
,7,1,2,2,0.59716576,0.814374566
,7,1,2,3,0.402554645,0.427096821
,7,2,1,1,0.687018505,0.999692132
,7,2,1,2,0.6309387,0.744425484
,7,2,1,3,0.571368375,0.691949522
,7,2,0,1,0.860260995,1.296306111
,7,2,0,2,0.912091805,1.540894212
,7,2,0,3,0.71515083,1.1200405
,7,2,2,1,0.490743885,0.537073332
,7,2,2,2,0.72534361,0.932763737
,7,2,2,3,0.533323575,0.603896154
,8,1,1,1,0.57507997,0.798886086
,8,1,1,2,0.709563135,1.082791196
,8,1,1,3,0.723020735,1.023374531
,8,1,0,1,0.39965895,0.425281696
,8,1,0,2,0.380105335,0.412121339
,8,1,0,3,0.423292625,0.461300371
,8,1,2,1,0.61984022,0.751498421
,8,1,2,2,0.515370765,0.575335278
,8,1,2,3,0.44983901,0.487803627
,8,2,1,1,0.695073785,0.943692709
,8,2,1,2,0.55813938,0.699537811
,8,2,1,3,0.599542115,0.770395361
,8,2,0,1,0.596860105,0.786800047
,8,2,0,2,0.59934017,0.749489225
,8,2,0,3,0.79505439,1.12681169
,8,2,2,1,0.89759739,1.509841284
,8,2,2,2,0.75175915,1.134026926
,8,2,2,3,0.574441225,0.712427079
,9,1,1,1,0.74071975,0.954548457
,9,1,1,2,0.65160191,0.778707114
,9,1,1,3,0.76915693,1.169326214
,9,1,0,1,0.287006715,0.304886304
,9,1,0,2,0.252660935,0.265763517
,9,1,0,3,0.155053245,0.15705609
,9,1,2,1,0.331502665,0.358936205
,9,1,2,2,0.27097712,0.286983622
,9,1,2,3,0.157150855,0.158613825
,9,2,1,1,0.55961316,0.632544988
,9,2,1,2,0.879531615,1.37790055
,9,2,1,3,0.67858826,0.949529924
,9,2,0,1,0.221723085,0.232586035
,9,2,0,2,0.487147195,0.709305247
,9,2,0,3,0.303145035,0.338570308
,9,2,2,1,0.475988345,0.617996874
,9,2,2,2,0.534077775,0.980399625
,9,2,2,3,0.35792595,0.391850095
,10,1,1,1,0.47862342,0.521199073
,10,1,1,2,0.36014541,0.38331668
,10,1,1,3,0.31506092,0.328614471
,10,1,0,1,0.65617052,0.805421726
,10,1,0,2,0.25352842,0.259940609
,10,1,0,3,0.18980542,0.192220425
,10,1,2,1,0.31385505,0.327373785
,10,1,2,2,0.706044375,0.886192475
,10,1,2,3,0.558390145,0.634580523
,10,2,1,1,0.702894395,0.875666836
,10,2,1,2,0.620876645,0.848879588
,10,2,1,3,0.289507255,0.298124481
,10,2,0,1,0.43326738,0.501739934
,10,2,0,2,0.51891514,0.651910837
,10,2,0,3,0.26195767,0.268214592
,10,2,2,1,0.88118188,1.381809435
,10,2,2,2,0.635613125,0.867656945
,10,2,2,3,0.555887595,0.738253464
,11,1,1,1,0.188246575,0.190666593
,11,1,1,2,0.192562025,0.195050638
,11,1,1,3,0.155445285,0.156919279
,11,1,0,1,0.167640155,0.169643656
,11,1,0,2,0.136232315,0.137091042
,11,1,0,3,0.138604245,0.139502223
,11,1,2,1,0.561716755,1.097148236
,11,1,2,2,0.53806232,0.828996085
,11,1,2,3,0.48972177,0.650246337
,11,2,1,1,0.151477235,0.152665814
,11,2,1,2,0.21543061,0.219776478
,11,2,1,3,0.225405565,0.230209061
,11,2,0,1,0.158394845,0.159874702
,11,2,0,2,0.25274819,0.260745919
,11,2,0,3,0.3465446,0.365461267
,11,2,2,1,0.58060762,0.963766511
,11,2,2,2,0.635355965,1.375230451
,11,2,2,3,0.694822355,1.470830332
,12,1,1,1,0.18281604,0.184917989
,12,1,1,2,0.19545544,0.198269692
,12,1,1,3,0.191749435,0.194462742
,12,1,0,1,0.322953455,0.33890635
,12,1,0,2,0.26744013,0.274389482
,12,1,0,3,0.206257415,0.209305616
,12,1,2,1,0.419111825,0.448698725
,12,1,2,2,0.394527605,0.417384775
,12,1,2,3,0.22678537,0.23262165
,12,2,1,1,0.31290035,0.331281544
,12,2,1,2,0.184165185,0.187810388
,12,2,1,3,0.18534768,0.188002788
,12,2,0,1,0.20633863,0.209357736
,12,2,0,2,0.1874476,0.190316056
,12,2,0,3,0.32028715,0.340881166
,12,2,2,1,0.413655925,0.44980849
,12,2,2,2,0.335529345,0.352851874
,12,2,2,3,0.505925205,0.567182744
,13,1,1,1,0.697556025,1.148544983
,13,1,1,2,0.46490817,0.505096934
,13,1,1,3,0.37098585,0.39381637
,13,1,0,1,0.55254521,0.650074437
,13,1,0,2,0.35936698,0.376892935
,13,1,0,3,0.278631225,0.291748814
,13,1,2,1,0.759390185,1.092348192
,13,1,2,2,0.62812095,0.754064478
,13,1,2,3,0.640526945,1.154764207
,13,2,1,1,0.601018705,0.812335887
,13,2,1,2,0.79242128,1.124338037
,13,2,1,3,0.67907404,1.034520561
,13,2,0,1,0.707753405,0.945408909
,13,2,0,2,0.67463032,1.096788178
,13,2,0,3,0.939853525,1.882826058
,13,2,2,1,0.683135805,0.962311893
,13,2,2,2,0.78773201,1.395589416
,13,2,2,3,0.96968677,2.087651035
,14,1,1,1,0.52417412,0.589094938
,14,1,1,2,0.277734585,0.286861399
,14,1,1,3,0.413208535,0.46722158
,14,1,0,1,0.358284665,0.390500406
,14,1,0,2,0.39874813,0.458547976
,14,1,0,3,0.32409637,0.349386803
,14,1,2,1,0.14647673,0.147540665
,14,1,2,2,0.15810861,0.159446628
,14,1,2,3,0.152840565,0.154054854
,14,2,1,1,0.51264996,0.572822179
,14,2,1,2,0.321337935,0.333556449
,14,2,1,3,0.39317569,0.427537724
,14,2,0,1,0.25587186,0.263178911
,14,2,0,2,0.45080128,0.5341428
,14,2,0,3,0.44824968,0.538963966
,14,2,2,1,0.164584535,0.166192836
,14,2,2,2,0.19303834,0.195582054
,14,2,2,3,0.29139888,0.300857059
,15,1,1,1,0.60626238,0.71327052
,15,1,1,2,0.667843675,0.931458021
,15,1,1,3,0.48728534,0.570853067
,15,1,0,1,0.772546295,1.073468786
,15,1,0,2,0.62706372,0.789372474
,15,1,0,3,0.51376707,0.58302779
,15,1,2,1,0.510701765,0.572531332
,15,1,2,2,0.806761605,1.188487019
,15,1,2,3,0.435696245,0.499751452
,15,2,1,1,0.67157073,1.211022194
,15,2,1,2,0.69419437,1.425131765
,15,2,1,3,0.872782825,1.349847219
,15,2,0,1,0.927580495,1.656698862
,15,2,0,2,0.747719485,1.214910741
,15,2,0,3,0.893827815,1.443486857
,15,2,2,1,0.679513145,1.181018638
,15,2,2,2,0.70737985,1.284952288
,15,2,2,3,0.65631908,1.032817209
,17,1,1,1,0.577610215,0.670308357
,17,1,1,2,0.48924868,0.5949916
,17,1,1,3,0.557726395,0.656683496
,17,1,0,1,0.363285335,0.384323927
,17,1,0,2,0.50918129,0.752047422
,17,1,0,3,0.23481535,0.241177002
,17,1,2,1,0.46786245,0.507473991
,17,1,2,2,0.391063925,0.413759334
,17,1,2,3,0.253138355,0.259797173
,17,2,1,1,0.6160314,0.730452809
,17,2,1,2,0.80593226,1.140830722
,17,2,1,3,0.676006175,0.874270458
,17,2,0,1,0.51424954,0.57352499
,17,2,0,2,0.47263347,0.540249427
,17,2,0,3,0.588189155,0.860506202
,17,2,2,1,0.495299465,0.679964119
,17,2,2,2,0.571003885,0.929294547
,17,2,2,3,0.5412446,0.879614958
,18,1,1,1,0.60107345,0.769299687
,18,1,1,2,0.52350545,0.687528829
,18,1,1,3,0.777162865,1.069604838
,18,1,0,1,0.401363895,0.429219338
,18,1,0,2,0.56945704,0.805957214
,18,1,0,3,0.515612415,0.579744522
,18,1,2,1,0.62317747,0.730195704
,18,1,2,2,0.544335785,0.610932695
,18,1,2,3,0.3697121,0.3902392
,18,2,1,1,0.680714595,0.946257901
,18,2,1,2,0.69378385,1.160342228
,18,2,1,3,0.64169404,1.025514614
,18,2,0,1,0.59205643,0.718336997
,18,2,0,2,0.9638373,2.007001119
,18,2,0,3,0.972801235,2.153553578
,18,2,2,1,0.778055245,1.086608981
,18,2,2,2,0.79884349,1.444934642
,18,2,2,3,0.97121639,2.116035791
,19,1,1,1,0.559388105,0.68146755
,19,1,1,2,0.50235851,0.629033096
,19,1,1,3,0.68508243,1.011982175
,19,1,0,1,0.55080683,0.761192256
,19,1,0,2,0.51122637,0.688739547
,19,1,0,3,0.369735455,0.403907144
,19,1,2,1,0.593089755,0.735211725
,19,1,2,2,0.80054807,1.105717758
,19,1,2,3,0.68614911,0.942352176
,19,2,1,1,0.35269584,0.369224568
,19,2,1,2,0.308165405,0.320109998
,19,2,1,3,0.432864275,0.46800997
,19,2,0,1,0.548262085,0.790406203
,19,2,0,2,0.37900516,0.422184081
,19,2,0,3,0.374478275,0.40968987
,19,2,2,1,0.321951965,0.345663238
,19,2,2,2,0.22040201,0.226355009
,19,2,2,3,0.24871321,0.254234672
,20,1,1,1,0.523862595,0.952416824
,20,1,1,2,0.4537634,0.575012571
,20,1,1,3,0.496787115,0.567419278
,20,1,0,1,0.537785305,0.603591047
,20,1,0,2,0.5535713,0.665582209
,20,1,0,3,0.481575105,0.539767995
,20,1,2,1,0.273292615,0.28203541
,20,1,2,2,0.300095,0.309625798
,20,1,2,3,0.192043985,0.194915842
,20,2,1,1,0.483003525,0.649442821
,20,2,1,2,0.2529623,0.265035165
,20,2,1,3,0.39238498,0.474548916
,20,2,0,1,0.52314778,0.77844899
,20,2,0,2,0.500124355,0.6042651
,20,2,0,3,0.617636075,0.815838398
,20,2,2,1,0.558553545,0.679550541
,20,2,2,2,0.566607715,0.645733492
,20,2,2,3,0.71264514,1.145984231
,21,1,1,1,0.65231826,0.780705242
,21,1,1,2,0.502627895,0.607501297
,21,1,1,3,0.5545849,0.639469634
,21,1,0,1,0.69254221,0.878348869
,21,1,0,2,0.56893644,0.675364091
,21,1,0,3,0.380135455,0.410615762
,21,1,2,1,0.75879148,1.003054269
,21,1,2,2,0.667793105,0.854114604
,21,1,2,3,0.66870741,0.832456386
,21,2,1,1,0.7193982,0.955298097
,21,2,1,2,0.603289985,0.69877672
,21,2,1,3,0.56632401,0.837299739
,21,2,0,1,0.687449765,0.8476687
,21,2,0,2,0.584035325,0.796327099
,21,2,0,3,0.786411635,1.065027764
,21,2,2,1,0.545507185,0.645433749
,21,2,2,2,0.737692245,1.038514527
,21,2,2,3,0.632970305,1.006494982
,22,1,1,1,0.53432934,0.601153054
,22,1,1,2,0.539185545,0.61042128
,22,1,1,3,0.52391442,0.596942372
,22,1,0,1,0.67306933,1.029883669
,22,1,0,2,0.36042812,0.377696229
,22,1,0,3,0.45592254,0.492162781
,22,1,2,1,0.85814758,1.377643605
,22,1,2,2,0.96581106,2.026309732
,22,1,2,3,0.92003116,1.701507796
,22,2,1,1,0.49975861,0.549296741
,22,2,1,2,0.59503304,0.694064135
,22,2,1,3,0.787496935,1.231801453
,22,2,0,1,0.85462236,1.473146752
,22,2,0,2,0.95049037,1.838405666
,22,2,0,3,0.940002365,1.771682047
,22,2,2,1,0.91874051,1.589080057
,22,2,2,2,0.977738335,2.245544508
,22,2,2,3,0.876792155,1.582122363
,23,1,1,1,0.90016983,1.477434232
,23,1,1,2,0.714980225,0.982953732
,23,1,1,3,0.809533355,1.271061533
,23,1,0,1,0.40841238,0.434615566
,23,1,0,2,0.33274291,0.34617617
,23,1,0,3,0.32269093,0.341716122
,23,1,2,1,0.80514219,1.209544923
,23,1,2,2,0.763398315,1.295827794
,23,1,2,3,0.7305652,0.936874615
,23,2,1,1,0.89484943,1.450005234
,23,2,1,2,0.968082335,2.093358661
,23,2,1,3,0.757591675,1.306133542
,23,2,0,1,0.63832588,0.964675485
,23,2,0,2,0.67676089,1.181620002
,23,2,0,3,0.670918485,1.21426132
,23,2,2,1,0.96844386,2.069324023
,23,2,2,2,0.970019205,2.132071402
,23,2,2,3,0.97055523,2.111864469
,24,1,1,1,0.399913945,0.43685287
,24,1,1,2,0.50022478,0.590681292
,24,1,1,3,0.43162656,0.476853728
,24,1,0,1,0.881661115,1.393418495
,24,1,0,2,0.669742575,0.828690778
,24,1,0,3,0.620930415,0.73705984
,24,1,2,1,0.882263455,1.456029475
,24,1,2,2,0.789495885,1.070702468
,24,1,2,3,0.888503205,1.48372886
,24,2,1,1,0.574721635,0.926453287
,24,2,1,2,0.639947335,0.864628037
,24,2,1,3,0.577124895,0.796868858
,24,2,0,1,0.862572185,1.307900407
,24,2,0,2,0.979304015,2.301812352
,24,2,0,3,0.87614831,1.407238835
,24,2,2,1,0.93602952,1.846359739
,24,2,2,2,0.969739055,2.097018316
,24,2,2,3,0.96249813,2.032217933
,25,1,1,1,0.16767148,0.170396227
,25,1,1,2,0.1282222,0.128972812
,25,1,1,3,0.14136458,0.142330572
,25,1,0,1,0.26845637,0.277933767
,25,1,0,2,0.212432965,0.216785518
,25,1,0,3,0.338259425,0.361688838
,25,1,2,1,0.231911765,0.2386557
,25,1,2,2,0.20795779,0.211509494
,25,1,2,3,0.183449545,0.186013822
,25,2,1,1,0.173300855,0.175334246
,25,2,1,2,0.19574847,0.199923452
,25,2,1,3,0.43859414,0.557038374
,25,2,0,1,0.288996555,0.299314978
,25,2,0,2,0.642068445,0.880094919
,25,2,0,3,0.793885745,1.1257609
,25,2,2,1,0.18131177,0.183700138
,25,2,2,2,0.50653281,0.676621206
,25,2,2,3,0.654737765,1.126684356
,26,1,1,1,0.18809491,0.191176929
,26,1,1,2,0.153267355,0.154503718
,26,1,1,3,0.183012,0.18593931
,26,1,0,1,0.571754425,0.810041862
,26,1,0,2,0.323144345,0.342834688
,26,1,0,3,0.261112415,0.267602884
,26,1,2,1,0.22625189,0.230838225
,26,1,2,2,0.232866735,0.238351276
,26,1,2,3,0.2483914,0.253835137
,26,2,1,1,0.278422485,0.286619703
,26,2,1,2,0.306553455,0.328275636
,26,2,1,3,0.210711235,0.215562048
,26,2,0,1,0.45941611,0.521395374
,26,2,0,2,0.316836565,0.328162563
,26,2,0,3,0.31846437,0.33154598
,26,2,2,1,0.270406635,0.278947538
,26,2,2,2,0.226660395,0.231786036
,26,2,2,3,0.260952205,0.269561448
,27,1,1,1,0.19338702,0.195922358
,27,1,1,2,0.153827085,0.15505821
,27,1,1,3,0.21820334,0.224953025
,27,1,0,1,0.1882823,0.191419505
,27,1,0,2,0.12105608,0.121772455
,27,1,0,3,0.12805372,0.128769458
,27,1,2,1,0.316366235,0.347063514
,27,1,2,2,0.40656521,0.488846705
,27,1,2,3,0.403065125,0.437069089
,27,2,1,1,0.240023515,0.248666761
,27,2,1,2,0.163771045,0.165399889
,27,2,1,3,0.19436555,0.196916664
,27,2,0,1,0.20800963,0.211210768
,27,2,0,2,0.15989224,0.161317195
,27,2,0,3,0.152742535,0.153947493
,27,2,2,1,0.3012593,0.311064373
,27,2,2,2,0.39491061,0.427985882
,27,2,2,3,0.67718679,0.977109835
